ano,uf,instituto,periodo_campo,candidato_resultado,ranking_voto_bruto,ranking_pesquisa,share_voto_nominal_calculado,share_pesquisa,erro_estimativa_pp,erro_distancia_corte_pp
2010,MA,Escutec,18-21/09,Professora Socorro,11.0,9.0,0.0,0.0023487962419260133,0.23487962419260133,6.898179794449124
2010,MA,Escutec,18-21/09,Claudicea Durans,6.0,10.0,0.0042205283776872,0.0017615971814445098,-0.24589311962426907,6.417407050632246
2010,MA,Escutec,18-21/09,Paulo Rios,7.0,11.0,0.0037495078710815,0.0017615971814445098,-0.19879106896369902,6.4645091012928155
2010,MA,Ibope,14-16/09,Edison Lobão,1.0,1.0,0.3273650220441059,0.35294117647058826,2.5576154426482365,4.566746252853044
2010,MA,Ibope,14-16/09,João Alberto,2.0,2.0,0.297402232471796,0.2773109243697479,-2.0091308102048067,0.0
2010,MA,Ibope,14-16/09,Zé Reinaldo,3.0,3.0,0.1399409810728227,0.13445378151260504,-0.5487199560217676,1.4604108541830385
2010,MA,Ibope,14-16/09,Vidigal,5.0,4.0,0.0966659479869499,0.09243697478991597,-0.4228973197033928,1.5862334905014137
2010,MA,Ibope,14-16/09,Roberto Rocha,4.0,5.0,0.123641055832182,0.08403361344537816,-3.9607442386803844,-1.9516134284755786
2010,MA,Ibope,14-16/09,Noleto,9.0,6.0,0.0034269674915071,0.01680672268907563,1.337975519756853,3.3471063299616546
2010,MA,Ibope,14-16/09,Charles Vieira,8.0,7.0,0.0035877568518674,0.008403361344537815,0.48156044926704145,2.4906912594718484
2010,MA,Ibope,14-16/09,Claudicea Durans,6.0,8.0,0.0042205283776872,0.008403361344537815,0.4182832966850614,2.4274141068898665
2010,MA,Ibope,14-16/09,Paulo Rios,7.0,9.0,0.0037495078710815,0.008403361344537815,0.46538534734563153,2.474516157550436
2010,MA,Ibope,14-16/09,Prof. Adonilson,10.0,10.0,0.0,0.008403361344537815,0.8403361344537815,2.849466944658591
2010,MA,Ibope,14-16/09,Professora Socorro,11.0,11.0,0.0,0.008403361344537815,0.8403361344537815,2.849466944658591
2010,MG,Datafolha,28-29/09,Aécio Neves PSDB,1.0,1.0,0.3948656247639862,0.42948717948717946,3.462155472319328,2.649740111309173
2010,MG,Datafolha,28-29/09,Itamar Franco PPS,2.0,2.0,0.2675168720309241,0.27564102564102566,0.8124153610101548,0.0
2010,MG,Datafolha,28-29/09,Fernando Pimentel PT,3.0,3.0,0.2398487403370392,0.21794871794871795,-2.1900022388321254,-3.00241759984228
2010,MG,Datafolha,28-29/09,Zito Vieira PCdoB,4.0,4.0,0.0776010339796645,0.02564102564102564,-5.196000833863886,-6.008416194874037
