ano,uf,pagina,url,tabela,linha,periodo_campo,instituto,margem_erro_texto,margem_erro_pp,formato,candidato_rotulo,percentual,valor_original,contexto
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1,3,5 de outubro de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Rondinely (PSOL),1.0,1%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código]
2018,BA,Eleições estaduais na Bahia em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_na_Bahia_em_2018,1,1,16 e 17 de agosto de 2018,TV Itapoan/Real Time Big Data,,,duas_mencoes_agregadas,Wagner (PT),36.0,36%,"Pesquisas para senador | Pesquisa para governador | Primeiro turno | Pesquisas eleitorais | Levando em conta que para o Senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200%. | Pesquisas para senador[editar | editar código]"
2018,BA,Eleições estaduais na Bahia em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_na_Bahia_em_2018,1,1,16 e 17 de agosto de 2018,TV Itapoan/Real Time Big Data,,,duas_mencoes_agregadas,Lázaro (PSC),15.0,15%,"Pesquisas para senador | Pesquisa para governador | Primeiro turno | Pesquisas eleitorais | Levando em conta que para o Senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200%. | Pesquisas para senador[editar | editar código]"
2018,BA,Eleições estaduais na Bahia em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_na_Bahia_em_2018,1,1,16 e 17 de agosto de 2018,TV Itapoan/Real Time Big Data,,,duas_mencoes_agregadas,Jutahy (PSDB),10.0,10%,"Pesquisas para senador | Pesquisa para governador | Primeiro turno | Pesquisas eleitorais | Levando em conta que para o Senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200%. | Pesquisas para senador[editar | editar código]"
2018,BA,Eleições estaduais na Bahia em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_na_Bahia_em_2018,1,1,16 e 17 de agosto de 2018,TV Itapoan/Real Time Big Data,,,duas_mencoes_agregadas,Coronel (PSD),10.0,10%,"Pesquisas para senador | Pesquisa para governador | Primeiro turno | Pesquisas eleitorais | Levando em conta que para o Senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200%. | Pesquisas para senador[editar | editar código]"
2018,BA,Eleições estaduais na Bahia em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_na_Bahia_em_2018,1,1,16 e 17 de agosto de 2018,TV Itapoan/Real Time Big Data,,,duas_mencoes_agregadas,Vianna (MDB),1.0,1%,"Pesquisas para senador | Pesquisa para governador | Primeiro turno | Pesquisas eleitorais | Levando em conta que para o Senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200%. | Pesquisas para senador[editar | editar código]"
2018,BA,Eleições estaduais na Bahia em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_na_Bahia_em_2018,1,1,16 e 17 de agosto de 2018,TV Itapoan/Real Time Big Data,,,duas_mencoes_agregadas,Nogueira (PSOL),0.0,0%,"Pesquisas para senador | Pesquisa para governador | Primeiro turno | Pesquisas eleitorais | Levando em conta que para o Senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200%. | Pesquisas para senador[editar | editar código]"
2018,BA,Eleições estaduais na Bahia em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_na_Bahia_em_2018,1,1,16 e 17 de agosto de 2018,TV Itapoan/Real Time Big Data,,,duas_mencoes_agregadas,Maurício (DC),2.0,2%,"Pesquisas para senador | Pesquisa para governador | Primeiro turno | Pesquisas eleitorais | Levando em conta que para o Senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200%. | Pesquisas para senador[editar | editar código]"
2018,BA,Eleições estaduais na Bahia em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_na_Bahia_em_2018,1,1,16 e 17 de agosto de 2018,TV Itapoan/Real Time Big Data,,,duas_mencoes_agregadas,Rangel (PSL),1.0,1%,"Pesquisas para senador | Pesquisa para governador | Primeiro turno | Pesquisas eleitorais | Levando em conta que para o Senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200%. | Pesquisas para senador[editar | editar código]"
2018,BA,Eleições estaduais na Bahia em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_na_Bahia_em_2018,1,1,16 e 17 de agosto de 2018,TV Itapoan/Real Time Big Data,,,duas_mencoes_agregadas,José (REDE),0.0,0%,"Pesquisas para senador | Pesquisa para governador | Primeiro turno | Pesquisas eleitorais | Levando em conta que para o Senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200%. | Pesquisas para senador[editar | editar código]"
